Date, Open, High, Low, Close, Volume
20211203  19:55:00,3354.51,3358.63,3353.05,3354.82,189
20211203  20:00:00,3353.6,3354.41,3342.66,3350.04,252
20211203  20:05:00,3349.91,3355.38,3338.6,3340.26,175
20211203  20:10:00,3341.54,3346.98,3341.19,3345.55,100
20211203  20:15:00,3346.71,3350.0,3342.0,3344.58,111
20211203  20:20:00,3344.59,3356.25,3344.58,3351.88,112
20211203  20:25:00,3353.0,3355.99,3350.93,3350.93,136
20211203  20:30:00,3352.13,3357.39,3347.55,3353.48,129
20211203  20:35:00,3352.75,3357.62,3346.61,3350.55,141
20211203  20:40:00,3349.27,3351.47,3346.84,3351.45,161
20211203  20:45:00,3349.85,3350.71,3344.45,3350.06,278
20211203  20:50:00,3351.0,3371.16,3350.88,3371.16,387
20211203  20:55:00,3371.49,3394.0,3370.92,3390.26,1263
20211206  14:30:00,3392.54,3404.99,3359.0,3359.0,742
20211206  14:35:00,3358.16,3359.82,3338.69,3344.55,401
20211206  14:40:00,3344.19,3372.22,3344.19,3369.63,403
20211206  14:45:00,3363.5,3371.89,3357.0,3362.66,197
20211206  14:50:00,3362.43,3376.6,3353.49,3356.21,332
20211206  14:55:00,3353.99,3368.5,3347.72,3366.07,290
20211206  15:00:00,3365.91,3380.0,3355.0,3358.74,223
20211206  15:05:00,3358.63,3386.24,3356.31,3379.9,269
20211206  15:10:00,3381.92,3409.0,3375.3,3408.33,383
20211206  15:15:00,3408.64,3424.0,3405.6,3409.0,327
20211206  15:20:00,3408.47,3418.77,3406.45,3417.28,190
20211206  15:25:00,3414.35,3416.0,3401.95,3412.52,215
20211206  15:30:00,3414.89,3420.53,3404.84,3409.94,253
20211206  15:35:00,3407.39,3407.39,3396.6,3400.0,197
20211206  15:40:00,3398.83,3410.0,3391.32,3394.24,150
20211206  15:45:00,3396.0,3400.13,3389.96,3390.0,212
20211206  15:50:00,3390.92,3397.1,3387.1,3395.74,236
20211206  15:55:00,3395.88,3404.44,3395.87,3400.0,220
20211206  16:00:00,3404.0,3406.97,3398.06,3401.5,138
20211206  16:05:00,3402.95,3413.52,3402.95,3411.75,94
20211206  16:10:00,3412.86,3414.97,3398.22,3400.49,133
20211206  16:15:00,3397.83,3405.99,3396.46,3403.18,86
20211206  16:20:00,3402.68,3403.5,3395.89,3402.86,27
20211206  16:25:00,3406.74,3412.0,3403.63,3410.34,75
20211206  16:30:00,3409.42,3417.0,3404.86,3413.09,87
20211206  16:35:00,3412.15,3415.0,3409.48,3413.12,59
20211206  16:40:00,3412.52,3422.88,3412.52,3421.91,91
20211206  16:45:00,3423.1,3427.99,3416.73,3417.12,145
20211206  16:50:00,3417.86,3418.44,3414.02,3417.63,43
20211206  16:55:00,3419.0,3419.0,3413.03,3415.96,49
20211206  17:00:00,3417.0,3422.38,3414.46,3420.0,74
20211206  17:05:00,3419.25,3437.95,3418.96,3435.03,189
20211206  17:10:00,3435.22,3442.96,3429.0,3438.19,177
20211206  17:15:00,3438.46,3441.35,3434.54,3439.46,101
20211206  17:20:00,3440.91,3446.4,3432.3,3433.97,118
20211206  17:25:00,3435.93,3449.0,3435.75,3448.14,160
20211206  17:30:00,3447.35,3453.96,3442.44,3442.45,234
20211206  17:35:00,3444.85,3454.84,3444.12,3454.0,112
20211206  17:40:00,3453.48,3455.97,3447.11,3453.47,124
20211206  17:45:00,3453.17,3460.0,3453.17,3459.95,228
20211206  17:50:00,3458.24,3459.98,3455.0,3457.22,104
20211206  17:55:00,3457.0,3461.46,3456.44,3459.37,97
